   Frequency_GHz   Transmission    Conductivity_S/m      n               k
   1.1134000e+02   8.1160982e-01   2.0116219e-01   1.6124594e+00   5.0375945e-03
   1.1143000e+02   7.8857276e-01   2.0150770e-01   1.6124594e+00   5.0421711e-03
   1.1152000e+02   7.8928665e-01   2.0185350e-01   1.6124594e+00   5.0467477e-03
   1.1161000e+02   8.0260161e-01   2.0219960e-01   1.6124595e+00   5.0513244e-03
   1.1170000e+02   7.9720651e-01   2.0254600e-01   1.6124595e+00   5.0559011e-03
   1.1179000e+02   7.9317277e-01   2.0289270e-01   1.6124595e+00   5.0604778e-03
   1.1188000e+02   8.0272173e-01   2.0323969e-01   1.6124595e+00   5.0650545e-03
   1.1197000e+02   7.8885325e-01   2.0358698e-01   1.6124595e+00   5.0696312e-03
   1.1206000e+02   7.7412709e-01   2.0393456e-01   1.6124595e+00   5.0742080e-03
   1.1215000e+02   7.7544514e-01   2.0428244e-01   1.6124595e+00   5.0787848e-03
   1.1224000e+02   7.7407361e-01   2.0463062e-01   1.6124596e+00   5.0833616e-03
   1.1233000e+02   7.7297370e-01   2.0497910e-01   1.6124596e+00   5.0879385e-03
   1.1242000e+02   7.8042028e-01   2.0532787e-01   1.6124596e+00   5.0925153e-03
   1.1251000e+02   7.7614895e-01   2.0567693e-01   1.6124596e+00   5.0970922e-03
   1.1260000e+02   7.6962612e-01   2.0602630e-01   1.6124596e+00   5.1016691e-03
   1.1269000e+02   7.7278879e-01   2.0637596e-01   1.6124596e+00   5.1062461e-03
   1.1278000e+02   7.6883273e-01   2.0672591e-01   1.6124596e+00   5.1108230e-03
   1.1287000e+02   7.6629715e-01   2.0707617e-01   1.6124597e+00   5.1154000e-03
   1.1296000e+02   7.7914110e-01   2.0742672e-01   1.6124597e+00   5.1199770e-03
   1.1305000e+02   7.7702170e-01   2.0777756e-01   1.6124597e+00   5.1245541e-03
   1.1314000e+02   7.6226138e-01   2.0812870e-01   1.6124597e+00   5.1291311e-03
   1.1323000e+02   7.6956132e-01   2.0848014e-01   1.6124597e+00   5.1337082e-03
   1.1332000e+02   7.6226796e-01   2.0883188e-01   1.6124597e+00   5.1382853e-03
   1.1341000e+02   7.5563084e-01   2.0918391e-01   1.6124598e+00   5.1428625e-03
   1.1350000e+02   7.7256515e-01   2.0953624e-01   1.6124598e+00   5.1474396e-03
   1.1359000e+02   7.8188782e-01   2.0988886e-01   1.6124598e+00   5.1520168e-03
   1.1368000e+02   7.7006046e-01   2.1024178e-01   1.6124598e+00   5.1565940e-03
   1.1377000e+02   7.7357877e-01   2.1059500e-01   1.6124598e+00   5.1611713e-03
   1.1386000e+02   7.6797427e-01   2.1094851e-01   1.6124598e+00   5.1657485e-03
   1.1395000e+02   7.6039786e-01   2.1130232e-01   1.6124598e+00   5.1703258e-03
   1.1404000e+02   7.7172508e-01   2.1165643e-01   1.6124599e+00   5.1749031e-03
   1.1413000e+02   7.7656267e-01   2.1201084e-01   1.6124599e+00   5.1794804e-03
   1.1422000e+02   7.7163274e-01   2.1236553e-01   1.6124599e+00   5.1840578e-03
   1.1431000e+02   7.7963898e-01   2.1272053e-01   1.6124599e+00   5.1886351e-03
   1.1440000e+02   7.7778385e-01   2.1307582e-01   1.6124599e+00   5.1932125e-03
   1.1449000e+02   7.6557486e-01   2.1343141e-01   1.6124599e+00   5.1977899e-03
   1.1458000e+02   7.7609658e-01   2.1378730e-01   1.6124599e+00   5.2023674e-03
   1.1467000e+02   7.9085217e-01   2.1414348e-01   1.6124600e+00   5.2069448e-03
   1.1476000e+02   7.8475302e-01   2.1449996e-01   1.6124600e+00   5.2115223e-03
   1.1485000e+02   8.0123455e-01   2.1485673e-01   1.6124600e+00   5.2160998e-03
   1.1494000e+02   8.0867846e-01   2.1521381e-01   1.6124600e+00   5.2206774e-03
   1.1503000e+02   7.8247190e-01   2.1557117e-01   1.6124600e+00   5.2252549e-03
   1.1512000e+02   7.8309525e-01   2.1592884e-01   1.6124600e+00   5.2298325e-03
   1.1521000e+02   7.9493766e-01   2.1628680e-01   1.6124600e+00   5.2344101e-03
   1.1530000e+02   7.8997198e-01   2.1664506e-01   1.6124601e+00   5.2389877e-03
   1.1539000e+02   7.9431226e-01   2.1700361e-01   1.6124601e+00   5.2435654e-03
