   Frequency_GHz   Transmission    Conductivity_S/m      n               k
   1.0891000e+02   6.7532992e-01   3.3950517e-01   1.5968961e+00   8.7764496e-03
   1.0900000e+02   6.7511519e-01   3.3988986e-01   1.5968961e+00   8.7791389e-03
   1.0909000e+02   6.7155533e-01   3.4027475e-01   1.5968961e+00   8.7818294e-03
   1.0918000e+02   6.8545160e-01   3.4065987e-01   1.5968961e+00   8.7845212e-03
   1.0927000e+02   7.0941318e-01   3.4104520e-01   1.5968961e+00   8.7872140e-03
   1.0936000e+02   7.0944352e-01   3.4143075e-01   1.5968961e+00   8.7899081e-03
   1.0945000e+02   7.1784165e-01   3.4181652e-01   1.5968961e+00   8.7926034e-03
   1.0954000e+02   7.2200373e-01   3.4220251e-01   1.5968962e+00   8.7952998e-03
   1.0963000e+02   7.2103669e-01   3.4258871e-01   1.5968962e+00   8.7979973e-03
   1.0972000e+02   7.1791057e-01   3.4297514e-01   1.5968962e+00   8.8006961e-03
   1.0981000e+02   7.1316351e-01   3.4336178e-01   1.5968962e+00   8.8033960e-03
   1.0990000e+02   7.1556251e-01   3.4374864e-01   1.5968962e+00   8.8060970e-03
   1.0999000e+02   7.1003707e-01   3.4413571e-01   1.5968962e+00   8.8087993e-03
   1.1008000e+02   7.0188756e-01   3.4452301e-01   1.5968963e+00   8.8115026e-03
   1.1017000e+02   7.0165076e-01   3.4491052e-01   1.5968963e+00   8.8142071e-03
   1.1026000e+02   6.9867752e-01   3.4529825e-01   1.5968963e+00   8.8169128e-03
   1.1035000e+02   6.9526773e-01   3.4568619e-01   1.5968963e+00   8.8196196e-03
   1.1044000e+02   6.9505882e-01   3.4607436e-01   1.5968963e+00   8.8223275e-03
   1.1053000e+02   6.9544754e-01   3.4646274e-01   1.5968963e+00   8.8250366e-03
   1.1062000e+02   6.9741246e-01   3.4685134e-01   1.5968963e+00   8.8277468e-03
   1.1071000e+02   6.9770664e-01   3.4724016e-01   1.5968964e+00   8.8304582e-03
   1.1080000e+02   6.9826569e-01   3.4762920e-01   1.5968964e+00   8.8331707e-03
   1.1089000e+02   6.9287846e-01   3.4801845e-01   1.5968964e+00   8.8358843e-03
   1.1098000e+02   6.9979205e-01   3.4840792e-01   1.5968964e+00   8.8385990e-03
   1.1107000e+02   6.9939980e-01   3.4879761e-01   1.5968964e+00   8.8413148e-03
   1.1116000e+02   6.9839139e-01   3.4918752e-01   1.5968964e+00   8.8440318e-03
   1.1125000e+02   6.9799522e-01   3.4957765e-01   1.5968964e+00   8.8467499e-03
   1.1134000e+02   6.9370681e-01   3.4996799e-01   1.5968965e+00   8.8494691e-03
   1.1143000e+02   6.7707671e-01   3.5035855e-01   1.5968965e+00   8.8521894e-03
   1.1152000e+02   6.7663077e-01   3.5074933e-01   1.5968965e+00   8.8549108e-03
   1.1161000e+02   6.7312775e-01   3.5114033e-01   1.5968965e+00   8.8576333e-03
   1.1170000e+02   6.7180877e-01   3.5153154e-01   1.5968965e+00   8.8603570e-03
   1.1179000e+02   6.6217734e-01   3.5192297e-01   1.5968965e+00   8.8630817e-03
   1.1188000e+02   6.6038086e-01   3.5231462e-01   1.5968966e+00   8.8658075e-03
   1.1197000e+02   6.5258507e-01   3.5270649e-01   1.5968966e+00   8.8685344e-03
   1.1206000e+02   6.4264255e-01   3.5309858e-01   1.5968966e+00   8.8712624e-03
   1.1215000e+02   6.3971574e-01   3.5349088e-01   1.5968966e+00   8.8739915e-03
   1.1224000e+02   6.4668439e-01   3.5388340e-01   1.5968966e+00   8.8767217e-03
   1.1233000e+02   6.5122062e-01   3.5427614e-01   1.5968966e+00   8.8794530e-03
   1.1242000e+02   6.4912949e-01   3.5466910e-01   1.5968966e+00   8.8821853e-03
   1.1251000e+02   6.5233056e-01   3.5506227e-01   1.5968967e+00   8.8849187e-03
   1.1260000e+02   6.5243256e-01   3.5545566e-01   1.5968967e+00   8.8876532e-03
   1.1269000e+02   6.5354329e-01   3.5584927e-01   1.5968967e+00   8.8903888e-03
   1.1278000e+02   6.5273504e-01   3.5624310e-01   1.5968967e+00   8.8931255e-03
   1.1287000e+02   6.6767764e-01   3.5663715e-01   1.5968967e+00   8.8958632e-03
   1.1296000e+02   6.7214950e-01   3.5703141e-01   1.5968967e+00   8.8986020e-03
   1.1305000e+02   6.7274082e-01   3.5742589e-01   1.5968968e+00   8.9013418e-03
   1.1314000e+02   6.7197629e-01   3.5782059e-01   1.5968968e+00   8.9040827e-03
   1.1323000e+02   6.7496344e-01   3.5821551e-01   1.5968968e+00   8.9068247e-03
   1.1332000e+02   6.6522240e-01   3.5861065e-01   1.5968968e+00   8.9095677e-03
   1.1341000e+02   6.7738991e-01   3.5900600e-01   1.5968968e+00   8.9123118e-03
   1.1350000e+02   6.7941563e-01   3.5940157e-01   1.5968968e+00   8.9150569e-03
   1.1359000e+02   6.8161284e-01   3.5979736e-01   1.5968968e+00   8.9178031e-03
   1.1368000e+02   6.8011344e-01   3.6019336e-01   1.5968969e+00   8.9205503e-03
   1.1377000e+02   6.7757068e-01   3.6058959e-01   1.5968969e+00   8.9232985e-03
   1.1386000e+02   6.7098312e-01   3.6098603e-01   1.5968969e+00   8.9260478e-03
   1.1395000e+02   6.7632968e-01   3.6138269e-01   1.5968969e+00   8.9287982e-03
   1.1404000e+02   6.7987660e-01   3.6177957e-01   1.5968969e+00   8.9315496e-03
